ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin
Standard Class,Home Office,United States,Houston,Texas,77041,central,office supplies,Envelopes,113.328,9,0.2,35.415,0.31
Standard Class,Home Office,United States,Houston,Texas,77041,central,furniture,Bookcases,532.3992,3,0.32,-46.9764,-0.09
Standard Class,Home Office,United States,Houston,Texas,77041,central,furniture,Chairs,212.058,3,0.3,-15.147,-0.07
Standard Class,Home Office,United States,Houston,Texas,77041,central,technology,Phones,371.168,4,0.2,41.7564,0.11
Standard Class,Corporate,United States,Naperville,Illinois,60540,central,technology,Phones,147.168,4,0.2,16.5564,0.11
Standard Class,Corporate,United States,Los Angeles,California,90049,west,office supplies,Storage,77.88,2,0.0,3.894,0.05
Standard Class,Corporate,United States,Melbourne,Florida,32935,south,office supplies,Storage,95.616,2,0.2,9.5616,0.1
First Class,Corporate,United States,Eagan,Minnesota,55122,central,technology,Accessories,45.98,2,0.0,19.7714,0.43
First Class,Corporate,United States,Eagan,Minnesota,55122,central,office supplies,Binders,17.46,2,0.0,8.2062,0.47
Second Class,Consumer,United States,Westland,Michigan,48185,central,office supplies,Storage,211.96,4,0.0,8.4784,0.04
Standard Class,Consumer,United States,Dover,Delaware,19901,east,technology,Accessories,45.0,3,0.0,4.95,0.11
Standard Class,Consumer,United States,Dover,Delaware,19901,east,technology,Phones,21.8,2,0.0,6.104,0.28
Standard Class,Consumer,United States,New Albany,Indiana,47150,central,office supplies,Binders,38.22,6,0.0,17.9634,0.47
Standard Class,Consumer,United States,New Albany,Indiana,47150,central,office supplies,Labels,75.18,6,0.0,35.3346,0.47
Standard Class,Consumer,United States,New Albany,Indiana,47150,central,furniture,Furnishings,6.16,2,0.0,2.9568,0.48
Standard Class,Consumer,United States,New Albany,Indiana,47150,central,furniture,Chairs,89.99,1,0.0,17.0981,0.19
Standard Class,Corporate,United States,New York City,New York,10024,east,office supplies,Fasteners,15.26,7,0.0,6.2566,0.41
Standard Class,Corporate,United States,New York City,New York,10024,east,technology,Phones,1029.95,5,0.0,298.6855,0.29
First Class,Consumer,United States,Troy,New York,12180,east,office supplies,Storage,208.56,6,0.0,52.14,0.25
First Class,Consumer,United States,Troy,New York,12180,east,office supplies,Paper,32.4,5,0.0,15.552,0.48
First Class,Consumer,United States,Troy,New York,12180,east,furniture,Chairs,319.41,5,0.1,7.098,0.02
First Class,Consumer,United States,Troy,New York,12180,east,office supplies,Paper,14.56,2,0.0,6.9888,0.48
First Class,Consumer,United States,Troy,New York,12180,east,technology,Accessories,30.0,2,0.0,3.3,0.11
First Class,Consumer,United States,Troy,New York,12180,east,office supplies,Binders,48.48,4,0.2,16.362,0.34
First Class,Consumer,United States,Troy,New York,12180,east,office supplies,Art,1.68,1,0.0,0.84,0.5
Standard Class,Consumer,United States,Los Angeles,California,90004,west,technology,Accessories,13.98,2,0.0,6.1512,0.44
Standard Class,Consumer,United States,Los Angeles,California,90004,west,office supplies,Binders,25.824,6,0.2,9.3612,0.36
Standard Class,Consumer,United States,Los Angeles,California,90004,west,office supplies,Paper,146.73,3,0.0,68.9631,0.47
Standard Class,Consumer,United States,Los Angeles,California,90004,west,furniture,Furnishings,79.76,4,0.0,22.3328,0.28
Standard Class,Home Office,United States,Chicago,Illinois,60610,central,furniture,Chairs,213.115,5,0.3,-15.2225,-0.07
Standard Class,Corporate,United States,Gilbert,Arizona,85234,west,office supplies,Art,1113.024,8,0.2,111.3024,0.1
Standard Class,Corporate,United States,Gilbert,Arizona,85234,west,technology,Phones,167.968,4,0.2,62.988,0.38
First Class,Consumer,United States,Springfield,Virginia,22153,south,office supplies,Paper,75.88,2,0.0,35.6636,0.47
Standard Class,Consumer,United States,New York City,New York,10009,east,office supplies,Binders,4.616,1,0.2,1.731,0.38
Second Class,Consumer,United States,Jackson,Michigan,49201,central,office supplies,Paper,19.05,3,0.0,8.763,0.46
Standard Class,Consumer,United States,Memphis,Tennessee,38109,south,furniture,Chairs,831.936,8,0.2,-114.3912,-0.14
Standard Class,Consumer,United States,Memphis,Tennessee,38109,south,furniture,Furnishings,97.04,2,0.2,1.213,0.01
Standard Class,Consumer,United States,Memphis,Tennessee,38109,south,office supplies,Storage,72.784,1,0.2,-18.196,-0.25
First Class,Corporate,United States,Houston,Texas,77041,central,office supplies,Binders,1.248,3,0.8,-1.9344,-1.55
First Class,Corporate,United States,Houston,Texas,77041,central,furniture,Furnishings,9.708,3,0.6,-5.8248,-0.6
First Class,Corporate,United States,Houston,Texas,77041,central,office supplies,Storage,27.24,3,0.2,2.724,0.1
Second Class,Consumer,United States,Houston,Texas,77070,central,furniture,Furnishings,19.3,5,0.6,-14.475,-0.75
First Class,Corporate,United States,Decatur,Alabama,35601,south,office supplies,Appliances,208.16,1,0.0,56.2032,0.27
First Class,Corporate,United States,Decatur,Alabama,35601,south,office supplies,Binders,16.74,3,0.0,8.0352,0.48
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Art,14.9,5,0.0,4.172,0.28
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Storage,21.39,1,0.0,6.2031,0.29
Standard Class,Corporate,United States,Durham,North Carolina,27707,south,office supplies,Envelopes,200.984,7,0.2,62.8075,0.31
First Class,Home Office,United States,Chicago,Illinois,60623,central,office supplies,Storage,230.376,3,0.2,-48.9549,-0.21
Second Class,Consumer,United States,Columbia,South Carolina,29203,south,furniture,Chairs,301.96,2,0.0,33.2156,0.11
Standard Class,Consumer,United States,Rochester,Minnesota,55901,central,technology,Accessories,19.99,1,0.0,6.7966,0.34
Standard Class,Consumer,United States,Rochester,Minnesota,55901,central,office supplies,Labels,6.16,2,0.0,2.9568,0.48
Second Class,Home Office,United States,Houston,Texas,77095,central,office supplies,Storage,158.368,7,0.2,13.8572,0.09
Standard Class,Corporate,United States,Los Angeles,California,90036,west,office supplies,Art,20.1,3,0.0,6.633,0.33
Standard Class,Corporate,United States,Los Angeles,California,90036,west,technology,Phones,73.584,2,0.2,8.2782,0.11
Standard Class,Corporate,United States,Los Angeles,California,90036,west,office supplies,Paper,6.48,1,0.0,3.1104,0.48
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,central,office supplies,Paper,12.96,2,0.0,6.2208,0.48
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,central,furniture,Furnishings,53.34,3,0.0,16.5354,0.31
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,central,office supplies,Binders,32.96,2,0.0,16.1504,0.49
Standard Class,Home Office,United States,Portland,Oregon,97206,west,office supplies,Binders,5.682,1,0.7,-3.788,-0.67
Second Class,Home Office,United States,New York City,New York,10009,east,furniture,Furnishings,96.53,7,0.0,40.5426,0.42
First Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Binders,51.312,3,0.2,17.9592,0.35
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,central,office supplies,Appliances,77.88,6,0.0,22.5852,0.29
Standard Class,Home Office,United States,Chicago,Illinois,60610,central,office supplies,Paper,64.624,7,0.2,22.6184,0.35
Standard Class,Home Office,United States,Chicago,Illinois,60610,central,technology,Accessories,95.976,3,0.2,-10.7973,-0.11
Standard Class,Home Office,United States,Chicago,Illinois,60610,central,office supplies,Binders,1.788,3,0.8,-3.0396,-1.7
Second Class,Consumer,United States,Rochester,Minnesota,55901,central,office supplies,Paper,23.92,4,0.0,11.7208,0.49
Standard Class,Consumer,United States,Aurora,Colorado,80013,west,technology,Accessories,238.896,6,0.2,-26.8758,-0.11
Standard Class,Consumer,United States,Aurora,Colorado,80013,west,furniture,Furnishings,102.36,3,0.2,-3.8385,-0.04
Standard Class,Consumer,United States,Aurora,Colorado,80013,west,office supplies,Binders,36.882,3,0.7,-25.8174,-0.7
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,south,technology,Accessories,74.112,8,0.2,17.6016,0.24
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,south,technology,Phones,27.992,1,0.2,2.0994,0.08
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,south,office supplies,Art,3.304,1,0.2,1.0738,0.33
Standard Class,Home Office,United States,Orland Park,Illinois,60462,central,technology,Accessories,339.96,5,0.2,67.992,0.2
Standard Class,Corporate,United States,New York City,New York,10035,east,furniture,Furnishings,41.96,2,0.0,10.9096,0.26
Standard Class,Consumer,United States,Urbandale,Iowa,50322,central,office supplies,Art,75.96,2,0.0,22.788,0.3
Standard Class,Consumer,United States,Urbandale,Iowa,50322,central,office supplies,Binders,27.24,6,0.0,13.3476,0.49
Second Class,Consumer,United States,Columbus,Ohio,43229,east,office supplies,Fasteners,40.096,14,0.2,14.5348,0.36
Second Class,Consumer,United States,Columbus,Ohio,43229,east,office supplies,Envelopes,4.72,2,0.2,1.652,0.35
Second Class,Consumer,United States,Columbus,Ohio,43229,east,office supplies,Paper,23.976,3,0.2,7.4925,0.31
Second Class,Consumer,United States,Columbus,Ohio,43229,east,office supplies,Envelopes,130.464,6,0.2,44.0316,0.34
Standard Class,Consumer,United States,Seattle,Washington,98103,west,furniture,Tables,787.53,3,0.0,165.3813,0.21
Standard Class,Corporate,United States,Bristol,Tennessee,37620,south,office supplies,Binders,157.794,1,0.7,-115.7156,-0.73
First Class,Consumer,United States,Wilmington,Delaware,19805,east,furniture,Furnishings,47.04,3,0.0,18.3456,0.39
First Class,Consumer,United States,Wilmington,Delaware,19805,east,office supplies,Binders,30.84,4,0.0,13.878,0.45
First Class,Consumer,United States,Wilmington,Delaware,19805,east,office supplies,Storage,226.56,6,0.0,63.4368,0.28
First Class,Consumer,United States,Wilmington,Delaware,19805,east,office supplies,Envelopes,115.02,9,0.0,51.759,0.45
First Class,Consumer,United States,Wilmington,Delaware,19805,east,technology,Phones,68.04,7,0.0,19.7316,0.29
Second Class,Home Office,United States,Houston,Texas,77041,central,furniture,Chairs,600.558,3,0.3,-8.5794,-0.01
Standard Class,Consumer,United States,Bloomington,Illinois,61701,central,furniture,Tables,617.7,6,0.5,-407.682,-0.66
Standard Class,Consumer,United States,Phoenix,Arizona,85023,west,office supplies,Binders,2.388,2,0.7,-1.8308,-0.77
Standard Class,Consumer,United States,Phoenix,Arizona,85023,west,office supplies,Storage,243.992,7,0.2,30.499,0.12
Second Class,Home Office,United States,Los Angeles,California,90004,west,furniture,Chairs,81.424,2,0.2,-9.1602,-0.11
Second Class,Home Office,United States,Los Angeles,California,90004,west,furniture,Furnishings,238.56,3,0.0,26.2416,0.11
First Class,Corporate,United States,Columbus,Ohio,43229,east,technology,Phones,59.97,5,0.4,-11.994,-0.2
First Class,Corporate,United States,Columbus,Ohio,43229,east,office supplies,Paper,78.304,2,0.2,29.364,0.38
First Class,Corporate,United States,Columbus,Ohio,43229,east,office supplies,Fasteners,21.456,9,0.2,6.9732,0.32
Standard Class,Consumer,United States,Roseville,California,95661,west,office supplies,Paper,20.04,3,0.0,9.6192,0.48
Standard Class,Consumer,United States,Roseville,California,95661,west,office supplies,Paper,35.44,1,0.0,16.6568,0.47
Standard Class,Consumer,United States,Roseville,California,95661,west,office supplies,Art,11.52,4,0.0,3.456,0.3
Standard Class,Consumer,United States,Roseville,California,95661,west,office supplies,Fasteners,4.02,2,0.0,1.9698,0.49
Standard Class,Consumer,United States,Roseville,California,95661,west,office supplies,Binders,76.176,3,0.2,26.6616,0.35
Standard Class,Consumer,United States,Roseville,California,95661,west,office supplies,Supplies,65.88,6,0.0,18.4464,0.28
Standard Class,Consumer,United States,Roseville,California,95661,west,furniture,Furnishings,43.12,14,0.0,20.6976,0.48
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,east,furniture,Furnishings,82.8,2,0.2,10.35,0.12
Standard Class,Corporate,United States,San Francisco,California,94122,west,office supplies,Art,8.82,3,0.0,2.3814,0.27
Standard Class,Corporate,United States,San Francisco,California,94122,west,office supplies,Envelopes,10.86,3,0.0,5.1042,0.47
Standard Class,Corporate,United States,San Francisco,California,94122,west,office supplies,Paper,143.7,3,0.0,68.976,0.48
Standard Class,Consumer,United States,Independence,Missouri,64055,central,office supplies,Appliances,839.43,3,0.0,218.2518,0.26
Standard Class,Consumer,United States,Pasadena,California,91104,west,office supplies,Storage,671.93,7,0.0,20.1579,0.03
Standard Class,Home Office,United States,Newark,Ohio,43055,east,furniture,Furnishings,93.888,4,0.2,12.9096,0.14
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,central,technology,Phones,384.45,11,0.0,103.8015,0.27
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,central,technology,Phones,149.97,3,0.0,5.9988,0.04
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,central,furniture,Chairs,1951.84,8,0.0,585.552,0.3
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,central,office supplies,Binders,171.55,5,0.0,80.6285,0.47
First Class,Home Office,United States,Scottsdale,Arizona,85254,west,office supplies,Appliances,157.92,5,0.2,17.766,0.11
First Class,Home Office,United States,Scottsdale,Arizona,85254,west,technology,Phones,203.184,2,0.2,15.2388,0.08
First Class,Corporate,United States,San Jose,California,95123,west,office supplies,Paper,58.38,7,0.0,26.271,0.45
First Class,Corporate,United States,San Jose,California,95123,west,office supplies,Paper,105.52,4,0.0,48.5392,0.46
First Class,Corporate,United States,San Jose,California,95123,west,office supplies,Storage,80.88,6,0.0,21.0288,0.26
Standard Class,Home Office,United States,Seattle,Washington,98105,west,office supplies,Art,6.63,3,0.0,1.7901,0.27
Second Class,Consumer,United States,Seattle,Washington,98115,west,furniture,Chairs,457.568,2,0.2,51.4764,0.11
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,central,office supplies,Labels,14.62,2,0.0,6.8714,0.47
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,central,technology,Phones,944.93,7,0.0,236.2325,0.25
First Class,Consumer,United States,Los Angeles,California,90045,west,office supplies,Paper,5.98,1,0.0,2.691,0.45
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,east,technology,Accessories,54.384,2,0.2,1.3596,0.02
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,west,office supplies,Envelopes,28.4,5,0.0,13.348,0.47
Standard Class,Consumer,United States,Seattle,Washington,98115,west,office supplies,Binders,27.68,2,0.2,9.688,0.35
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,office supplies,Art,9.936,3,0.2,2.7324,0.28
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,technology,Machines,8159.952,8,0.4,-1359.992,-0.17
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,office supplies,Storage,275.928,3,0.2,-58.6347,-0.21
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,furniture,Chairs,1740.06,9,0.3,-24.858,-0.01
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,office supplies,Art,32.064,6,0.2,6.8136,0.21
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,office supplies,Appliances,177.98,5,0.8,-453.849,-2.55
Standard Class,Consumer,United States,San Antonio,Texas,78207,central,technology,Phones,143.976,3,0.2,8.9985,0.06
Standard Class,Consumer,United States,Los Angeles,California,90004,west,office supplies,Paper,20.94,3,0.0,9.8418,0.47
Standard Class,Consumer,United States,Los Angeles,California,90004,west,office supplies,Paper,110.96,2,0.0,53.2608,0.48
Standard Class,Consumer,United States,Los Angeles,California,90004,west,furniture,Chairs,340.144,7,0.2,21.259,0.06
Standard Class,Corporate,United States,Chicago,Illinois,60623,central,office supplies,Appliances,52.448,2,0.8,-131.12,-2.5
Standard Class,Corporate,United States,Chicago,Illinois,60623,central,office supplies,Labels,20.16,4,0.2,6.552,0.32
Second Class,Consumer,United States,Houston,Texas,77036,central,office supplies,Appliances,97.264,4,0.8,-243.16,-2.5
Second Class,Consumer,United States,Newark,Ohio,43055,east,furniture,Chairs,396.802,7,0.3,-11.3372,-0.03
Second Class,Consumer,United States,Newark,Ohio,43055,east,office supplies,Supplies,15.88,5,0.2,-3.7715,-0.24
Standard Class,Home Office,United States,New York City,New York,10009,east,office supplies,Art,3.28,1,0.0,1.4104,0.43
Second Class,Corporate,United States,Decatur,Illinois,62521,central,office supplies,Storage,24.816,2,0.2,1.8612,0.08
Second Class,Corporate,United States,Decatur,Illinois,62521,central,technology,Accessories,408.744,7,0.2,76.6395,0.19
Second Class,Home Office,United States,Monroe,Louisiana,71203,south,technology,Phones,503.96,4,0.0,131.0296,0.26
Second Class,Home Office,United States,Monroe,Louisiana,71203,south,technology,Phones,149.95,5,0.0,41.986,0.28
Second Class,Home Office,United States,Monroe,Louisiana,71203,south,technology,Accessories,29.0,2,0.0,7.25,0.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,east,office supplies,Binders,7.16,2,0.0,3.4368,0.48
Standard Class,Home Office,United States,Los Angeles,California,90032,west,technology,Accessories,176.8,8,0.0,22.984,0.13
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,central,office supplies,Storage,37.224,3,0.2,3.7224,0.1
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,central,office supplies,Paper,20.016,3,0.2,6.255,0.31
First Class,Home Office,United States,New York City,New York,10035,east,furniture,Bookcases,899.136,4,0.2,112.392,0.12
First Class,Home Office,United States,New York City,New York,10035,east,technology,Phones,71.76,6,0.0,20.0928,0.28
First Class,Home Office,United States,New York City,New York,10035,east,office supplies,Paper,51.84,8,0.0,24.8832,0.48
First Class,Home Office,United States,New York City,New York,10035,east,furniture,Bookcases,626.352,3,0.2,46.9764,0.08
First Class,Home Office,United States,New York City,New York,10035,east,office supplies,Art,19.9,5,0.0,6.567,0.33
Standard Class,Corporate,United States,Redlands,California,92374,west,office supplies,Envelopes,14.28,7,0.0,6.7116,0.47
Standard Class,Consumer,United States,Hamilton,Ohio,45011,east,office supplies,Art,7.408,2,0.2,1.2038,0.16
Standard Class,Consumer,United States,Hamilton,Ohio,45011,east,office supplies,Art,6.048,3,0.2,1.5876,0.26
Standard Class,Home Office,United States,Westfield,New Jersey,7090,east,office supplies,Storage,46.26,3,0.0,12.0276,0.26
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,east,office supplies,Binders,2.946,2,0.7,-2.2586,-0.77
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,east,office supplies,Paper,16.056,3,0.2,5.8203,0.36
Standard Class,Consumer,United States,Akron,Ohio,44312,east,office supplies,Paper,21.744,3,0.2,6.795,0.31
First Class,Consumer,United States,Denver,Colorado,80219,west,furniture,Tables,218.75,2,0.5,-161.875,-0.74
First Class,Consumer,United States,Denver,Colorado,80219,west,office supplies,Appliances,2.6,1,0.2,0.2925,0.11
Second Class,Consumer,United States,Dallas,Texas,75220,central,office supplies,Appliances,66.284,2,0.8,-178.9668,-2.7
Standard Class,Corporate,United States,Franklin,Tennessee,37064,south,furniture,Furnishings,35.168,7,0.2,9.6712,0.28
Standard Class,Consumer,United States,Whittier,California,90604,west,technology,Phones,444.768,4,0.2,44.4768,0.1
Standard Class,Consumer,United States,Saginaw,Michigan,48601,central,office supplies,Storage,83.92,4,0.0,5.8744,0.07
Standard Class,Consumer,United States,Saginaw,Michigan,48601,central,technology,Phones,131.98,2,0.0,35.6346,0.27
Standard Class,Consumer,United States,Saginaw,Michigan,48601,central,office supplies,Binders,15.92,4,0.0,7.4824,0.47
Standard Class,Consumer,United States,Saginaw,Michigan,48601,central,office supplies,Fasteners,52.29,9,0.0,16.2099,0.31
Standard Class,Consumer,United States,Saginaw,Michigan,48601,central,office supplies,Storage,91.99,1,0.0,3.6796,0.04
Second Class,Corporate,United States,Dallas,Texas,75220,central,technology,Accessories,20.8,2,0.2,6.5,0.31
Standard Class,Corporate,United States,Medina,Ohio,44256,east,office supplies,Labels,23.68,2,0.2,8.88,0.38
Standard Class,Corporate,United States,Medina,Ohio,44256,east,furniture,Bookcases,452.45,5,0.5,-244.323,-0.54
Standard Class,Corporate,United States,Medina,Ohio,44256,east,technology,Phones,62.982,3,0.4,-14.6958,-0.23
Standard Class,Corporate,United States,Medina,Ohio,44256,east,technology,Machines,1188.0,9,0.7,-950.4,-0.8
Standard Class,Corporate,United States,Medina,Ohio,44256,east,technology,Accessories,89.584,2,0.2,4.4792,0.05
Standard Class,Consumer,United States,Los Angeles,California,90032,west,office supplies,Storage,93.06,6,0.0,26.0568,0.28
Standard Class,Consumer,United States,Los Angeles,California,90032,west,technology,Phones,302.376,3,0.2,22.6782,0.08
First Class,Consumer,United States,Dublin,Ohio,43017,east,office supplies,Fasteners,5.584,2,0.2,1.8148,0.32
First Class,Consumer,United States,Dublin,Ohio,43017,east,office supplies,Paper,22.704,6,0.2,8.2302,0.36
First Class,Consumer,United States,Dublin,Ohio,43017,east,office supplies,Binders,19.776,4,0.7,-13.8432,-0.7
First Class,Consumer,United States,Dublin,Ohio,43017,east,furniture,Furnishings,72.704,4,0.2,19.0848,0.26
First Class,Consumer,United States,Dublin,Ohio,43017,east,technology,Machines,479.988,4,0.7,-383.9904,-0.8
First Class,Consumer,United States,Dublin,Ohio,43017,east,office supplies,Art,27.168,2,0.2,2.7168,0.1
Standard Class,Corporate,United States,Detroit,Michigan,48227,central,office supplies,Art,2.2,1,0.0,0.968,0.44
Standard Class,Corporate,United States,Detroit,Michigan,48227,central,furniture,Tables,622.45,5,0.0,136.939,0.22
Standard Class,Corporate,United States,Detroit,Michigan,48227,central,office supplies,Storage,21.98,1,0.0,0.2198,0.01
Standard Class,Consumer,United States,Columbia,Tennessee,38401,south,furniture,Chairs,161.568,2,0.2,-28.2744,-0.18
Standard Class,Consumer,United States,Columbia,Tennessee,38401,south,furniture,Chairs,389.696,8,0.2,43.8408,0.11
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,south,office supplies,Binders,18.648,7,0.7,-12.432,-0.67
Standard Class,Home Office,United States,Tampa,Florida,33614,south,furniture,Tables,233.86,2,0.45,-102.048,-0.44
Standard Class,Home Office,United States,Tampa,Florida,33614,south,furniture,Tables,620.6145,3,0.45,-248.2458,-0.4
Standard Class,Home Office,United States,Tampa,Florida,33614,south,office supplies,Binders,5.328,2,0.7,-3.552,-0.67
Standard Class,Home Office,United States,Tampa,Florida,33614,south,furniture,Furnishings,258.072,3,0.2,0.0,0.0
Standard Class,Home Office,United States,Tampa,Florida,33614,south,technology,Accessories,617.976,3,0.2,-7.7247,-0.01
Standard Class,Corporate,United States,Santa Clara,California,95051,west,office supplies,Paper,10.56,2,0.0,4.752,0.45
Second Class,Consumer,United States,Chicago,Illinois,60610,central,office supplies,Paper,25.92,5,0.2,9.396,0.36
Second Class,Consumer,United States,Chicago,Illinois,60610,central,furniture,Furnishings,419.68,5,0.6,-356.728,-0.85
Second Class,Consumer,United States,Chicago,Illinois,60610,central,furniture,Furnishings,11.688,3,0.6,-4.6752,-0.4
Second Class,Consumer,United States,Chicago,Illinois,60610,central,technology,Phones,31.984,2,0.2,11.1944,0.35
Second Class,Consumer,United States,Chicago,Illinois,60610,central,furniture,Tables,177.225,5,0.5,-120.513,-0.68
Second Class,Consumer,United States,Chicago,Illinois,60610,central,furniture,Furnishings,4.044,3,0.6,-2.8308,-0.7
Second Class,Consumer,United States,Chicago,Illinois,60610,central,office supplies,Art,7.408,2,0.2,1.2038,0.16
Second Class,Home Office,United States,Lakeville,Minnesota,55044,central,furniture,Chairs,2001.86,7,0.0,580.5394,0.29
Second Class,Home Office,United States,Lakeville,Minnesota,55044,central,office supplies,Storage,166.72,2,0.0,41.68,0.25
